2014-08-20 5:26:04 - PHP Notice:  Undefined offset: 1 in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/module/slideshow.tpl on line 12
2014-08-20 5:26:04 - PHP Notice:  Undefined offset: 1 in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/module/slideshow.tpl on line 14
2014-08-20 5:26:04 - PHP Notice:  Undefined offset: 1 in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/module/slideshow.tpl on line 12
2014-08-20 5:26:04 - PHP Notice:  Undefined offset: 1 in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/module/slideshow.tpl on line 14
2014-08-20 5:34:36 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/product/category.tpl on line 209
2014-08-20 5:48:15 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/product/category.tpl on line 209
2014-08-20 5:56:12 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/product/category.tpl on line 209
2014-08-20 6:00:38 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/product/category.tpl on line 209
2014-08-20 6:09:27 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/product/category.tpl on line 209
2014-08-20 6:12:24 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/product/category.tpl on line 209
2014-08-20 6:30:43 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/fiv3com/public_html/dev1/FIV3/catalog/view/theme/default/template/product/category.tpl on line 209
